,"0.0, 9.0","1.0, 50.0","2.0, 18.0","2.0, 38.0","3.0, 5.0","3.0, 34.0","4.0, 19.0","5.0, 36.0"
-1.6,-0.5113452574484318,0.3151771449957435,-0.3874039074982336,-0.2573815102233665,-0.304801992278553,-0.42552144503995804,0.319994967173183,-0.395089071824569
-1.55,-0.48637190186403795,0.1841416726790025,-0.44695381488772856,-0.2698240317610755,-0.374331979885276,-0.46492466464484794,0.360529581360169,-0.297587055916529
-1.5,-0.5036409361799326,0.07527913649559048,-0.44601801493271065,-0.2718103087343845,-0.461520334180445,-0.47729734839818794,0.37993355013325253,-0.21718382193530905
-1.45,-0.5782480423325643,0.022480815696207496,-0.43294476388181957,-0.2564558543899985,-0.49247355484116895,-0.47827528159085797,0.37237746887977813,-0.18798274030222895
-1.4,-0.6598233791851921,-0.04472276381535348,-0.43525585200757755,-0.21378574026869251,-0.468080211612115,-0.5140287544733979,0.32068601313071843,-0.15330937179188808
-1.35,-0.72527424035994,-0.10042799005923449,-0.45026844638247066,-0.1829709078106016,-0.42153617380196196,-0.606689701853018,0.271893101945746,-0.11945257098108197
-1.3,-0.75413604064974,-0.19279516131687738,-0.4617548343701616,-0.14405244333219572,-0.410371197860277,-0.7006265757268579,0.273194354576503,-0.050592168945779004
-1.25,-0.791365025318852,-0.2965147031530855,-0.4421236650625786,-0.13425648151583802,-0.418203694368939,-0.805291050946958,0.269386473972842,0.02372160897608
-1.2,-0.8695045700546291,-0.3293623511217555,-0.3781353954522556,-0.1359709277720654,-0.44118871815249894,-0.857944929121828,0.287755312347334,0.07431904036018899
-1.15,-0.981509020595116,-0.3416215152031575,-0.2681697618948246,-0.1257594001865667,-0.49735880512939,-0.885654513196898,0.262316480233746,0.08454690077127902
-1.1,-1.095662556123732,-0.3493268658289115,-0.19259993036125161,-0.11772578698290471,-0.48232711957624697,-0.8934321515577379,0.214160708059342,0.08154917244760196
-1.05,-1.1951728305209182,-0.3654943754240185,-0.182199743186125,-0.08272951350614631,-0.434117731578996,-0.936765980634038,0.19114695636793402,0.07757640741405503
