timestamps,data,sampling_rate
5.8,0.211864745401096,
5.85,0.22826362561798,
5.9,0.232072887657225,
5.95,0.229529373874863,
6,0.222129765656645,
6.05,0.221592780481258,
6.1,0.230398779673481,
6.15,0.23289241733522,
6.2,0.242768861773319,
6.25,0.233079618474807,
6.3,0.236173037258767,
6.35,0.224672825255352,
6.4,0.213853773793216,
6.45,0.212680952420631,
6.5,0.211240030469766,
6.55,0.21359958995932,
6.6,0.225198885084688,
6.65,0.222027995744532,
6.7,0.218236567072385,
6.75,0.209317611844202,
6.8,0.211075241969243,
6.85,0.214233636152655,
6.9,0.220915239113875,
6.95,0.219114938388126,
7,0.211005354703871,
7.05,0.205946805731527,
7.1,0.206139651342282,
7.15,0.203543860037966,
7.2,0.205306499010692,
7.25,0.210187325860357,
7.3,0.210773866699462,
7.35,0.208359969457498,
7.4,0.213345959159275,
7.45,0.221039764749972,
7.5,0.225078452512296,
7.55,0.219070594064884,
7.6,0.211022006633913,
7.65,0.213832956671106,
7.7,0.216364314969449,
7.75,0.222017640687895,
7.8,0.226013195869959,
7.85,0.219982037167245,
7.9,0.213657776099396,
7.95,0.212914640806026,
8,0.214024169546805,
8.05,0.215959639368615,
8.1,0.216051304413494,
8.15,0.217341244015647,
8.2,0.207954948891438,
8.25,0.200135020895634,
8.3,0.207606114315348,
8.35,0.212023616217313,
8.4,0.216537248847927,
8.45,0.215094427545875,
8.5,0.213751667034296,
8.55,0.214286067996022,
8.6,0.209185613265493,
8.65,0.211305761603486,
8.7,0.217412842047527,
8.75,0.212491903074526,
8.8,0.207707198625323,
8.85,0.204876302675957,
8.9,0.214012548095974,
8.95,0.225163407429287,
9,0.23003244120329,
9.05,0.226179740452761,
9.1,0.228977608211201,
9.15,0.22131756464662,
9.2,0.221558586063327,
9.25,0.218345962018988,
9.3,0.221642877649261,
9.35,0.221866593613725,
9.4,0.222182833651726,
9.45,0.21786115693736,
9.5,0.213066447361436,
9.55,0.211915865004021,
9.6,0.218213634862383,
9.65,0.214188445204651,
9.7,0.211027913232613,
9.75,0.211595999839005,
9.8,0.214407222275692,
9.85,0.213542198717221,
9.9,0.210316230574786,
9.95,0.217155193872034,
10,0.22303943204559,
10.05,0.218357336045002,
10.1,0.216050799573991,
10.15,0.219772371851696,
10.2,0.222879647872392,
10.25,0.221012280267748,
10.3,0.226146085637659,
10.35,0.228627324777986,
10.4,0.224100430236022,
10.45,0.230085284668194,
10.5,0.222168122254322,
10.55,0.218983128880814,
10.6,0.211837041087012,
10.65,0.211379212756933,
10.7,0.212614202970153,
10.75,0.212865576488896,
10.8,0.204327986708423,
10.85,0.208065847408692,
10.9,0.207117465003164,
10.95,0.217027478736625,
11,0.214793323401479,
11.05,0.215876820768311,
11.1,0.205559124338734,
11.15,0.209057680332186,
11.2,0.215422671648762,
11.25,0.219288700435781,
11.3,0.223332042741149,
11.35,0.225066310792141,
11.4,0.225313290475541,
11.45,0.227130631956716,
11.5,0.230228947122452,
11.55,0.232761885607656,
11.6,0.238665771108676,
11.65,0.237141619846727,
11.7,0.230437588275094,
11.75,0.223328571118602,
11.8,0.226135336288186,
11.85,0.230785816738651,
11.9,0.229920496417832,
11.95,0.220695122314942,
12,0.221647565661786,
12.05,0.220936138975035,
12.1,0.224814887393224,
12.15,0.225097499823542,
12.2,0.221430934673256,
12.25,0.222587131859132,
12.3,0.221823151249213,
12.35,0.209900887009407,
12.4,0.204895700870229,
12.45,0.212384985284707,
12.5,0.223323805271842,
12.55,0.219829512108602,
12.6,0.213169784832102,
12.65,0.207923579975172,
12.7,0.206298333810307,
12.75,0.211750723992686,
12.8,0.22266575293592,
12.85,0.220628681742319,
12.9,0.22134927511156,
12.95,0.219688640276724,
13,0.220397052974264,
13.05,0.21276309580628,
