,D4_mean,D4_sem,D6_mean,D6_sem
0.1,0.7245985378583711,0.9779547963481512,0.607573121599817,0.5222544764313508
0.15,0.8255894405379345,1.0662742772302662,0.7733580320336075,0.6256624025384501
0.2,0.9410941460279059,1.1486305679667366,0.9486105298886653,0.7367878276049681
0.25,1.061301599490263,1.2193214278118356,1.1159169756558216,0.8493232948445096
0.3,1.181329947325405,1.289248222174532,1.2940513686879422,0.9735890729126299
0.35,1.2972378165545366,1.3504644416143763,1.4993727362200482,1.1204192078683577
0.4,1.4033541988074674,1.408678552476992,1.7153099182926985,1.2661957864713427
0.45,1.5035799869378614,1.4644981957194776,1.9384083031661696,1.41219410524398
0.5,1.6136798304543307,1.5174724246795745,2.14667192190952,1.5557561882003998
0.55,1.7156013074544698,1.5600668432446914,2.3573611115887325,1.6926232428146792
0.6,1.8028992078326023,1.5966898163037615,2.5695077131561765,1.8331647497085453
0.65,1.8761388226777589,1.6320307413595991,2.7601957543049602,1.952592006918279
0.7,1.9327949412516459,1.65978535103762,2.959731952742133,2.0612218804520968
0.75,1.9760268428014016,1.6679947366433139,3.1406194219714476,2.15755736718121
0.8,2.008827188697678,1.674057774936783,3.271221840893067,2.208867247956829
0.85,2.024441161117394,1.665444637705172,3.367987335992909,2.240968187693014
0.9,2.0306125022118677,1.648091017975637,3.4387453888537696,2.249646232604715
0.95,2.0222797996045916,1.6209698440824054,3.5045412573546675,2.2506532811359277
1.0,2.007463249433331,1.5980139332659582,3.585049221068431,2.25815882165968
1.05,1.980166430646349,1.5733990926623682,3.66319254076964,2.2623675708684274
1.1,1.942847465998916,1.548253224455795,3.711772013293081,2.2456993223647204
1.15,1.901354108183815,1.5108563211054449,3.741879284956345,2.2244818293359216
1.2,1.8612228331976954,1.4642450557754525,3.754464102940349,2.1961437071563124
1.25,1.8158101465566752,1.4165104079055155,3.7666140941561945,2.1675354429012907
1.3,1.7607558871085334,1.366947078986172,3.7822104674748305,2.1463233887000017
1.35,1.7024800524184787,1.3093737836902208,3.798691581145043,2.124829704203984
1.4,1.6326262435211898,1.2407334874452547,3.8216792011821354,2.1085177628061498
1.45,1.5608536261475465,1.1769433009675152,3.81782334525269,2.0904107614602054
1.5,1.4982593657956293,1.1219746604145033,3.8113821123121037,2.078393091029736
1.55,1.444208725384656,1.0582021699042479,3.826154460314532,2.0991408465445334
1.6,1.3977587242920375,1.0065138012209587,3.862940523111977,2.1323811164653304
1.65,1.3475982693878386,0.9619146323857384,3.9070835597231186,2.176447145591257
1.7,1.3063919210498618,0.9336410784969955,3.93351437712034,2.2166705618611693
1.75,1.2738170350024673,0.9092790788705648,3.9252947445563704,2.2299955740572757
1.8,1.2645325693381904,0.8977801337935993,3.8973010566557544,2.2275177316517034
1.85,1.2680492616892693,0.885453580626434,3.8727815971311252,2.229273232938818
1.9,1.274899958257503,0.8893612976271551,3.844001194257536,2.2245808960164135
1.95,1.2779254672484324,0.9021054099058606,3.7976845271391326,2.205722114432585
2.0,1.2831356466435602,0.9188183486325168,3.7336019983551956,2.1751049258776223
2.05,1.2999109063199148,0.9434339070998251,3.6417332261980357,2.1267437036695935
2.1,1.3134125280969138,0.9698535473940127,3.535403019228415,2.0644469990173704
2.15,1.3525781848217304,1.0083629236492997,3.420140692781001,1.999844227108227
2.2,1.410177477274978,1.0525942202534166,3.3178376353159464,1.9417978911814369
2.25,1.4695370821564278,1.1042427870115312,3.222943762586626,1.8849987047938264
2.3,1.5200327885317273,1.1655443220860406,3.121632829501733,1.8134195411892085
2.35,1.5663363915266184,1.2207911204532338,2.99960039107179,1.727809312999091
2.4,1.6120706897341917,1.2591472354856035,2.8631231305827956,1.6351914823280558
2.45,1.6603216884920902,1.2898352908153492,2.7330454193748963,1.5387497033526292
2.5,1.700043204134464,1.310754787519826,2.6137546045362736,1.4599811683628594
2.55,1.7195930750613546,1.3159372698183314,2.5062164744991167,1.3947363975637668
2.6,1.7200320567426104,1.315859879406159,2.3897090063045088,1.325375025020761
2.65,1.7166317055413474,1.3029888864099417,2.2697250412700023,1.259097406692205
2.7,1.7155741925564643,1.2884869403851484,2.1668675970126134,1.2070408455425847
2.75,1.7101766031787446,1.267802931121733,2.0830886538813864,1.1687525372096108
2.8,1.706512144619645,1.2496106535908371,2.012366609974457,1.1408574647067786
2.85,1.715392207167373,1.2436594527613556,1.9551595057156217,1.1257697555426538
2.9,1.700714542276935,1.2303821763882972,1.9157870185261687,1.1299250034955965
2.95,1.6780620145891978,1.2116854217459199,1.8706092741876539,1.1256059252945254
3.0,1.6504106072326068,1.1892798125243704,1.8240607010094505,1.1159954010865605
3.05,1.6230840058074023,1.1526186632698068,1.7827929211124922,1.1104777388577882
3.1,1.5991881241696113,1.1118934646131917,1.7607640593722658,1.1287332838981148
3.15,1.575122437640501,1.0871433646750508,1.7675644229248713,1.1609159058881333
3.2,1.5413850864966328,1.0609458049933251,1.7781005964653565,1.2043521855594954
3.25,1.5061896654200093,1.0429752980391767,1.7972625665713708,1.2441384538135651
3.3,1.4749804810093352,1.0281757822971833,1.8227093867106667,1.2857847683135792
3.35,1.4614743203933447,1.019398750269179,1.8696302404787035,1.3344301960812057
3.4,1.453166651982104,1.0134274491490942,1.9339496193449772,1.3843858254064085
3.45,1.440577613045049,1.0069952358862269,2.00323235961634,1.4318739644220029
3.5,1.4302907466013919,1.009705542648765,2.0721338916851786,1.463653999860876
3.55,1.4095409497979021,1.005109093065569,2.1452776975670504,1.4911214490592013
3.6,1.382577706098491,0.9873594080093794,2.2155100774036627,1.5080024921195365
3.65,1.366205829518464,0.975150325049158,2.2585929778443887,1.4915283694227919
3.7,1.3435868489079117,0.9511116500138845,2.3053664648121557,1.4747822590143413
3.75,1.3120710480739441,0.9131943768538143,2.3491349576480616,1.4609440611685656
3.8,1.2902201314757147,0.8872386113161874,2.394100003703672,1.4449662403953019
3.85,1.2630836354971413,0.8691746332663596,2.427592113842418,1.4062586128027397
3.9,1.2428213684165619,0.8450215038868855,2.4460757644855815,1.3514505639941157
3.95,1.2211117616604545,0.8233491627010576,2.453408318616404,1.2820196963295405
4.0,1.2039655489282655,0.7925669074216461,2.449745400012258,1.2111912435799177
4.05,1.1873915785569458,0.765105006041204,2.438735150762107,1.1318381851853745
4.1,1.165016283238784,0.7403004753031467,2.411891914960533,1.048371833364679
4.15,1.1379385030986646,0.71732242135345,2.383744602544325,0.9698123793310521
4.2,1.1187668380192695,0.6973344882539687,2.3514056724771275,0.8874206181968962
4.25,1.094259565188555,0.6567027287670991,2.3057717705437644,0.8171848508041069
4.3,1.077310847570447,0.6183940481962694,2.2481726622766827,0.7462757316218518
4.35,1.0566472190165617,0.5836391253312435,2.1790731895069744,0.6746807510284758
4.4,1.0395763448617024,0.5470557900955124,2.126710233384883,0.6261500983757917
4.45,1.0296683873948307,0.5299049056641975,2.06624187487492,0.576686734028474
4.5,1.0351095028497026,0.52932377657105,2.0025611931373026,0.5237335559382517
4.55,1.0249005983062642,0.5260463879509217,1.9360466813561616,0.47938912029094394
4.6,1.0205571663021764,0.5236676711735975,1.8678394423928357,0.44007465509053034
4.65,1.0135108103641104,0.5257754181368262,1.7887242456690924,0.4092790085451119
4.7,1.0186125046617442,0.53334139881372,1.7331988440748491,0.39963915140767065
4.75,1.0236639210153373,0.5493718642413667,1.69814205857457,0.400477359631184
4.8,1.02827161329891,0.5666092957333067,1.6549919286867636,0.3983643567295478
4.85,1.031832689538593,0.5794397324933285,1.617790581913037,0.3958623885637668
4.9,1.0406209074421437,0.586531563693585,1.564460588629775,0.3893364208710769
4.95,1.0484939640098216,0.5863621012589684,1.510562702046975,0.3947325469228713
