,"0.0, 20.0","2.0, 46.0","3.0, 4.0","3.0, 11.0","3.0, 25.0","3.0, 49.0","3.0, 55.0","4.0, 41.0","5.0, 0.0","5.0, 16.0","5.0, 34.0"
-3.2,0.21595153189288596,0.2564093615579095,0.21923734176287013,0.5999469392564052,0.4835022577372299,-0.9179361207077852,-2.1817389966350893,1.5295868761918952,-0.37587990451836517,-0.6507989097424804,0.6292884262264836
-3.15,0.301639048661993,0.12920359607228926,0.3375539454661407,0.5100522100242557,0.28394161063768,-0.8321633678010052,-2.0228677346820065,1.6761632623995748,-0.4670032946003151,-0.7079393345563703,0.8323698922958936
-3.1,0.38430632570617296,0.008873256431699339,0.4849892907527802,0.5027974049001056,0.05623174519344998,-0.7428736462059651,-1.8686290266895693,1.7554469479237547,-0.6018510430205761,-0.7750364398549303,0.9272050542609834
-3.05,0.48425337146995495,-0.1232303318962309,0.6306378660664604,0.41137347269783575,-0.10090011400103993,-0.7001137802018649,-1.6917075013027953,1.8465127179425247,-0.739105779111984,-0.78004356265517,0.9737605551454135
-3.0,0.6016469648689259,-0.2543180421621605,0.8161604355559104,0.3366490672153155,-0.27060885744166985,-0.6366583695495049,-1.5122062835347294,1.9312125733868646,-0.9247655631643271,-0.8387688255041703,1.0925333518791334
-2.95,0.6639749619622579,-0.34473742964986087,0.9628752478164104,0.21745825351038572,-0.4312238419181198,-0.5756634271258849,-1.3840966231195075,1.944522325113855,-1.035690009676637,-0.8902178967432302,1.2953082112410934
-2.9,0.6872659104607419,-0.4730947795503502,1.0742300445698905,0.08166884640456562,-0.6192165801450598,-0.5170597639895549,-1.1880837218633262,1.9109997197039048,-1.1575363548579851,-0.8572374900751001,1.5082341733627533
-2.85,0.734769445833998,-0.5788024654693302,1.1438058123372903,-0.08166884640456473,-0.77689719109221,-0.3874242105454351,-0.9406201283138804,1.7991324806997344,-1.235328496248869,-0.76354580716092,1.7091151220290932
-2.8,0.8022889647648319,-0.7302611442826104,1.2201063661145604,-0.3063065231606643,-0.87061124471732,-0.25555638401891523,-0.6764631475243403,1.6607909358177046,-1.27176586170923,-0.61106380865326,1.8463344907182533
-2.75,0.9192894885619799,-0.8170367191954409,1.3263461817723003,-0.6040453656272744,-0.8874631454161501,-0.2172428936386548,-0.3572942161914403,1.4877137922869448,-1.260589570387596,-0.4461638173075704,1.8541530586360735
-2.7,1.0214716573640028,-0.7377488776795609,1.3680831482376803,-0.9222091710816542,-0.8768352420084797,-0.18947814921000505,-0.10002810477204038,1.3197756366157547,-1.221953850215987,-0.32684981555696035,1.8890577788493532
-2.65,1.042789407508942,-0.6904818233440304,1.3589755899798406,-1.2897489577102346,-0.8804864660873801,-0.19676550736864495,0.14412993001099972,1.1475934789840645,-1.186026095520675,-0.26804495760487024,1.9065097709709335
-2.6,1.045974584895041,-0.619900591032911,1.2204661611163106,-1.6265804432003144,-0.8305643670318901,-0.16072543741553513,0.4898223162365696,0.9506310130322051,-1.192273383159786,-0.1787907045645003,1.8258004643208534
-2.55,0.9852455487835869,-0.5540126597111206,1.0388365424429904,-1.9522513819360046,-0.8020091194012999,-0.08167482771189505,0.8029769245485094,0.659014654565715,-1.1706101643784872,-0.09174861228208009,1.7513984063579535
-2.5,0.974942768363142,-0.46578686459714014,0.9794371410495906,-2.2700975669461445,-0.7704857782064001,0.02109621575808518,1.2023607922654898,0.3526555720421549,-1.15236564984146,-0.01749502921743007,1.6461382073404134
-2.45,1.0158317095627618,-0.24700974244419083,0.9043505600740205,-2.6882190622283444,-0.7582030958798898,0.18367477448456482,1.5416695455158096,-0.005562984783415104,-1.1796607121853762,0.01749614425451984,1.4426158824637634
-2.4,1.033779491265983,-0.008873256431700227,0.8870531364549206,-3.186583540661294,-0.7847277274354698,0.35928350003627507,1.7797092825142098,-0.242276716513945,-1.2045059468908281,0.026101350481189556,1.2840351077708134
-2.35,1.05478482589747,0.2403948569093295,0.8839812321860103,-3.7135886276821926,-0.7867300513359599,0.467660337724245,1.94845539076697,-0.42265044938146534,-1.248687951792448,0.017495029217429625,1.1431276162251534
-2.3,1.026906549285918,0.5247922734546795,0.8565217187683603,-4.151474885490598,-0.8240111263765,0.5762362830214451,2.0528111679743093,-0.6522017486380451,-1.344125420816808,-0.08432574222687039,1.0460017283389633
-2.25,0.963682010647716,0.7428949038186894,0.7859984281108505,-4.592629751828624,-0.84197929173861,0.6976002038281051,2.0933787188040993,-0.8822339200951252,-1.4155773876643705,-0.12392469236359016,0.8835597039835036
-2.2,0.9486208893815249,0.9251888424558596,0.7101555461059603,-4.948802936930981,-0.8721183648532,0.8509279589214449,2.1137606181549398,-1.0955780950645353,-1.4938439033236321,-0.14620142826825022,0.6454180146829135
-2.15,0.951881785378913,1.1402488323726794,0.7739897623268504,-5.348891147798208,-0.9049237827877699,1.044613003026825,2.0512250534127094,-1.3419050480498853,-1.588726425160255,-0.23354776825991008,0.3962707323233635
-2.1,0.9760968787900379,1.3271052493240596,0.8960490309287903,-5.722861737236714,-0.9019101428737901,1.242486929014385,1.9179298356364596,-1.5308509755189852,-1.67340351238109,-0.3031562307779003,0.12910529562488748
-2.05,1.032687240546401,1.5194921735147493,0.9890979597218905,-6.084225199329374,-0.8856802568816398,1.450542936917965,1.7058735806663297,-1.7138136338183652,-1.75089218388306,-0.42319366531807034,-0.12910580673362548
-2.0,1.069040552740961,1.6101283028975795,1.0909617915963503,-6.406228110511094,-0.8545615918560201,1.710039789163115,1.4376312662796895,-1.7979774690294252,-1.852552334242375,-0.6548979644051101,-0.26142188454668347
-1.95,1.1410516532522694,1.6382814804173993,1.1974207491228404,-6.6968760632343445,-0.81970763759626,1.917855183835504,1.2338734070874797,-1.915130416344775,-1.989658974793226,-0.86022781159518,-0.39764073443392145
-1.9,1.2425686481788514,1.6999035342084197,1.2856192249779803,-6.8845803153735945,-0.7300110426092701,2.1727980911075377,1.0767375535435497,-2.047959417533245,-2.0138122915466923,-0.9990938789908403,-0.47175352998042047
-1.85,1.368446310491051,1.7141538205221596,1.4765558333314206,-7.113097075505134,-0.6546253833262301,2.375465850023629,0.7902052550023497,-2.101114293441844,-1.983195854654012,-1.0623101087065203,-0.49554094838571344
-1.8,1.492575946848369,1.7528551456994492,1.7804636233786204,-7.2989607225101745,-0.5413735490614999,2.553179467244528,0.5383835059205198,-2.0769920838431775,-1.955040316844908,-1.10247004178539,-0.49457316702794146
-1.75,1.61737852336262,1.7783358480164493,2.0129196740809503,-7.509549108441044,-0.4479038370003101,2.708761065197022,0.15868427805286967,-1.9499177526168352,-2.0246371374000613,-1.19802057485348,-0.40065994133609045
-1.7,1.740893109492426,1.7394837847638294,2.2216267670590404,-7.607564423692534,-0.35082046047589,2.7771573166779304,-0.17934599964858045,-1.7326843168827653,-2.0682397976610734,-1.3282982215895003,-0.1610946131969705
