,"0.0, 8.0","1.0, 48.0","2.0, 12.0","2.0, 53.0","3.0, 10.0","3.0, 28.0","3.0, 45.0","3.0, 58.0","4.0, 4.0","4.0, 16.0","4.0, 22.0","4.0, 44.0","4.0, 58.0","5.0, 6.0","5.0, 28.0","5.0, 42.0"
-4.05,0.35247015962442396,0.13828735170838002,0.3373516372401358,0.04798863018443955,0.32524730044776806,-0.12108915041391699,-0.009690140033206451,-0.020519622394124082,0.8547378408733075,0.215478183708826,0.19580388462772247,0.6125792320822185,-0.19435281010147348,0.09699325886137955,-0.04249955071441003,0.605264449211596
-4.0,0.34245797117975296,0.19679490204267003,0.3365768788585078,0.06879481040720253,0.3387853294671881,-0.11039793699225398,0.048442252654796514,0.024133513797166883,0.8085445222083274,0.1122801978299961,0.2172061752400845,0.5250650679394364,-0.10249314882587651,0.10059867251958254,-0.09961311716995402,0.615261630341781
-3.95,0.35172852085203193,0.2436326675018201,0.34172761907234683,0.06234884050349254,0.34605963008736795,-0.0674721767236679,0.13573771666664847,0.02051962239412397,0.7163119311147075,0.03717888298872607,0.25301533078249244,0.46595480910951453,-0.02769563620312654,0.09531395884939253,-0.10574125264955103,0.588943610122132
-3.9,0.33537859918937396,0.27946883684650015,0.3580495116015918,-0.00670991562644746,0.313354941318998,-0.0017561285635530055,0.22131032616545943,-0.05095849731610003,0.5938278593188675,-0.05297673426134897,0.3011108553429405,0.3994282496733505,0.05017330247145646,0.08675208360188952,-0.08481986762653204,0.521061323928892
-3.85,0.29371409576201796,0.34829348896301005,0.41299278986170385,-0.048133427424052466,0.30839724581764805,0.04580055247446102,0.2585345013146896,-0.13167974115972003,0.4315616172970975,-0.094198194040791,0.3968812996535345,0.30862466583972853,0.11934832823991948,0.10433644944632753,-0.05925301318923504,0.45719971412925103
-3.8,0.23576091958631695,0.4122959563421391,0.4185351139856678,-0.00394126220682145,0.329816875789108,0.040043692432156,0.2989879583449495,-0.13814879120103907,0.31333531668668746,-0.07315426657255397,0.47477805189158345,0.1642442757281095,0.1953361971790815,0.09179904635211655,-0.08526690109848911,0.41304580727621704
-3.75,0.18470461037427993,0.4630721109423491,0.3771138737512678,0.0905120502457305,0.3344527135536781,0.01726091023667209,0.30379641553003944,-0.08856305118809504,0.2559601139330254,-0.07649751485747291,0.4923659438395705,0.010668250058645523,0.27371545265040376,0.0930425142160815,-0.11415014067379903,0.40576187320993107
-3.7,0.161636266635392,0.47806238619181607,0.3073190495952528,0.12044147949863454,0.360081771528318,-0.045132070308203986,0.2982949645651294,-0.05232721406307106,0.18303690510563642,-0.09282962661674099,0.48644994876439746,-0.11576973229795551,0.3531205350659628,0.06779532886493556,-0.14292850999701812,0.36761615175065504
-3.65,0.13922983037189596,0.44327308202402504,0.2650332179546828,0.19299018234883247,0.3746191987193681,-0.10155618998221794,0.3306041934546995,-0.028737304491388116,0.11675294824818738,-0.12263526296333893,0.5019380338589345,-0.233181808651362,0.38064767984782827,0.048357631919232535,-0.17512314651107208,0.30063797080978105
-3.6,0.13112221358277398,0.37648504217938017,0.2858938920363558,0.20861261992388358,0.4067599798572481,-0.078004520885389,0.36976103471138955,-0.025516595789875085,0.032461208140081466,-0.13340733508799596,0.5401826693546026,-0.323263347404571,0.34151929946737136,0.09716063249128853,-0.17509586083937811,0.21875710002510007
